object_path,asset_name,asset_class_path,generated_class_path,parent_class_path,native_parent_class_path,is_data_asset,identity_status,identity_confidence,current_classification_basis
/Game/Genesis/Missions/VRBattle/Groups/DinoGroup_YutyAndBow.DinoGroup_YutyAndBow,DinoGroup_YutyAndBow,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Group_Bow.Group_Bow,Group_Bow,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Group_Grenade.Group_Grenade,Group_Grenade,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Group_Spear.Group_Spear,Group_Spear,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Group_SpearAndBow.Group_SpearAndBow,Group_SpearAndBow,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Group_SpearAndRifle.Group_SpearAndRifle,Group_SpearAndRifle,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Group_TekRifle.Group_TekRifle,Group_TekRifle,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Single_Bow.Single_Bow,Single_Bow,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Single_Grenade.Single_Grenade,Single_Grenade,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Single_Spear.Single_Spear,Single_Spear,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Single_TekRifle.Single_TekRifle,Single_TekRifle,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Solo_Dino_Drone.Solo_Dino_Drone,Solo_Dino_Drone,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Solo_Dino_Giga.Solo_Dino_Giga,Solo_Dino_Giga,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Solo_Dino_Raptor.Solo_Dino_Raptor,Solo_Dino_Raptor,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Solo_Dino_Reaper.Solo_Dino_Reaper,Solo_Dino_Reaper,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Solo_Dino_Rex.Solo_Dino_Rex,Solo_Dino_Rex,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Solo_Dino_Trike.Solo_Dino_Trike,Solo_Dino_Trike,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Bow_Forward.Support_Bot_Bow_Forward,Support_Bot_Bow_Forward,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Bow_Left.Support_Bot_Bow_Left,Support_Bot_Bow_Left,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Bow_Right.Support_Bot_Bow_Right,Support_Bot_Bow_Right,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Grenade_Forward.Support_Bot_Grenade_Forward,Support_Bot_Grenade_Forward,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Grenade_Left.Support_Bot_Grenade_Left,Support_Bot_Grenade_Left,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Grenade_Right.Support_Bot_Grenade_Right,Support_Bot_Grenade_Right,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Rifle_Forward.Support_Bot_Rifle_Forward,Support_Bot_Rifle_Forward,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Rifle_Left.Support_Bot_Rifle_Left,Support_Bot_Rifle_Left,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Rifle_Right.Support_Bot_Rifle_Right,Support_Bot_Rifle_Right,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Spear_Forward.Support_Bot_Spear_Forward,Support_Bot_Spear_Forward,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Spear_Left.Support_Bot_Spear_Left,Support_Bot_Spear_Left,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Support_Bot_Spear_Right.Support_Bot_Spear_Right,Support_Bot_Spear_Right,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/Test_Group.Test_Group,Test_Group,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Maps/Genesis/__Generated/WaterPlaneDataAsset.WaterPlaneDataAsset,WaterPlaneDataAsset,/Script/ShooterGame.WaterPlaneDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Maps/TestMaps/SmallIsland/__GENERATED/WaterPlaneDataAsset.WaterPlaneDataAsset,WaterPlaneDataAsset,/Script/ShooterGame.WaterPlaneDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Maps/TestMaps/__Generated/WaterPlaneDataAsset.WaterPlaneDataAsset,WaterPlaneDataAsset,/Script/ShooterGame.WaterPlaneDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Ogg/MusicDataAsset.MusicDataAsset,MusicDataAsset,/Script/ShooterGame.MusicDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Packs/Frontier/Structures/TownBell/SeperateTest/DA_TownBell_VAT.DA_TownBell_VAT,DA_TownBell_VAT,/Script/AnimToTexture.AnimToTextureDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/PrimalEarth/Sound/PlayerFoley/PDA_FoleyCollection.PDA_FoleyCollection,PDA_FoleyCollection,/Script/Engine.Blueprint,/Game/PrimalEarth/Sound/PlayerFoley/PDA_FoleyCollection.PDA_FoleyCollection_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/PrimalEarth/Sound/PlayerVoice/PDA_VoiceCollection.PDA_VoiceCollection,PDA_VoiceCollection,/Script/Engine.Blueprint,/Game/PrimalEarth/Sound/PlayerVoice/PDA_VoiceCollection.PDA_VoiceCollection_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/Settings/DA_FightCircle.DA_FightCircle,DA_FightCircle,/Script/ShooterGame.FightCircleDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/UltraDynamicSky/Blueprints/System/Editor_UI/Cloud_Painter/Cloud_Painter_Settings.Cloud_Painter_Settings,Cloud_Painter_Settings,/Script/Engine.Blueprint,/Game/UltraDynamicSky/Blueprints/System/Editor_UI/Cloud_Painter/Cloud_Painter_Settings.Cloud_Painter_Settings_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/UltraDynamicSky/Blueprints/System/Editor_UI/UDS_VersionInfo.UDS_VersionInfo,UDS_VersionInfo,/Script/Engine.Blueprint,/Game/UltraDynamicSky/Blueprints/System/Editor_UI/UDS_VersionInfo.UDS_VersionInfo_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/UltraDynamicSky/Blueprints/System/UDS_Cloud_Paint_Cell.UDS_Cloud_Paint_Cell,UDS_Cloud_Paint_Cell,/Script/Engine.Blueprint,/Game/UltraDynamicSky/Blueprints/System/UDS_Cloud_Paint_Cell.UDS_Cloud_Paint_Cell_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/UltraDynamicSky/Blueprints/System/UDS_Configuration.UDS_Configuration,UDS_Configuration,/Script/Engine.Blueprint,/Game/UltraDynamicSky/Blueprints/System/UDS_Configuration.UDS_Configuration_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/UltraDynamicSky/Blueprints/System/UDS_Planet_Preset.UDS_Planet_Preset,UDS_Planet_Preset,/Script/Engine.Blueprint,/Game/UltraDynamicSky/Blueprints/System/UDS_Planet_Preset.UDS_Planet_Preset_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/UltraDynamicSky/Blueprints/Weather_Effects/System/UDS_Weather_Settings.UDS_Weather_Settings,UDS_Weather_Settings,/Script/Engine.Blueprint,/Game/UltraDynamicSky/Blueprints/Weather_Effects/System/UDS_Weather_Settings.UDS_Weather_Settings_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/WeatherSystem/WeatherPresets/BP_WeatherPreset_Base.BP_WeatherPreset_Base,BP_WeatherPreset_Base,/Script/Engine.Blueprint,/Game/WeatherSystem/WeatherPresets/BP_WeatherPreset_Base.BP_WeatherPreset_Base_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/WeatherSystem/WeatherPresets/EXT/WeatherPreset_EXT_Base.WeatherPreset_EXT_Base,WeatherPreset_EXT_Base,/Script/Engine.Blueprint,/Game/WeatherSystem/WeatherPresets/EXT/WeatherPreset_EXT_Base.WeatherPreset_EXT_Base_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/GlassCosmetic/ModDataAsset_GlassMod.ModDataAsset_GlassMod,ModDataAsset_GlassMod,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/ImpostorBaker/BP/DataAsset/DA_ImpostorPreset_TranslucentCloud.DA_ImpostorPreset_TranslucentCloud,DA_ImpostorPreset_TranslucentCloud,/ImpostorBaker/BP/DataAsset/ImpostorPresets.ImpostorPresets_C,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/ImpostorBaker/BP/DataAsset/ImpostorPresets.ImpostorPresets,ImpostorPresets,/Script/Engine.Blueprint,/ImpostorBaker/BP/DataAsset/ImpostorPresets.ImpostorPresets_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/ImpostorBaker/BP/DataAsset/ImpostorPresets_Default.ImpostorPresets_Default,ImpostorPresets_Default,/ImpostorBaker/BP/DataAsset/ImpostorPresets.ImpostorPresets_C,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/KrazyCosmetics/ModDataAsset_KrazyCosmetics.ModDataAsset_KrazyCosmetics,ModDataAsset_KrazyCosmetics,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Landmass/Landscape/ErosionBrush/BP/DataAsset/ErosionBrush_DataSettings_Preset.ErosionBrush_DataSettings_Preset,ErosionBrush_DataSettings_Preset,/Script/Engine.Blueprint,/Landmass/Landscape/ErosionBrush/BP/DataAsset/ErosionBrush_DataSettings_Preset.ErosionBrush_DataSettings_Preset_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Landmass/Landscape/ErosionBrush/BP/Presets/ErosionBrush_Data_Preset_Heavy_01.ErosionBrush_Data_Preset_Heavy_01,ErosionBrush_Data_Preset_Heavy_01,/Landmass/Landscape/ErosionBrush/BP/DataAsset/ErosionBrush_DataSettings_Preset.ErosionBrush_DataSettings_Preset_C,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Landmass/Landscape/ErosionBrush/BP/Presets/ErosionBrush_Data_Preset_Medium_01.ErosionBrush_Data_Preset_Medium_01,ErosionBrush_Data_Preset_Medium_01,/Landmass/Landscape/ErosionBrush/BP/DataAsset/ErosionBrush_DataSettings_Preset.ErosionBrush_DataSettings_Preset_C,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/LitLasers/ModDataAsset_LitLasers.ModDataAsset_LitLasers,ModDataAsset_LitLasers,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/MegachelonDeepWaterVisualizer/ModDataAsset_BlankMod.ModDataAsset_BlankMod,ModDataAsset_BlankMod,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/PCG/BP_Elements/Resources/PCGPointList.PCGPointList,PCGPointList,/Script/Engine.Blueprint,/PCG/BP_Elements/Resources/PCGPointList.PCGPointList_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/RoadsterSample/3DCars_Roadster1/Blueprints/Vehicles/Configurator/DC_AdvancedParams.DC_AdvancedParams,DC_AdvancedParams,/Script/Engine.Blueprint,/RoadsterSample/3DCars_Roadster1/Blueprints/Vehicles/Configurator/DC_AdvancedParams.DC_AdvancedParams_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/RoadsterSample/ModDataAsset_RoadsterCarCosmetic.ModDataAsset_RoadsterCarCosmetic,ModDataAsset_RoadsterCarCosmetic,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/SOTFGameModeMod/ModDataAsset_SOTFGameModeMod.ModDataAsset_SOTFGameModeMod,ModDataAsset_SOTFGameModeMod,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/SteamboatWillie/ModDataAsset_SteamboatWillie.ModDataAsset_SteamboatWillie,ModDataAsset_SteamboatWillie,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/StructureCosmeticSample/ModDataAsset_StructureCosmeticSample.ModDataAsset_StructureCosmeticSample,ModDataAsset_StructureCosmeticSample,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/WildWater/ModDataAsset_WildWater.ModDataAsset_WildWater,ModDataAsset_WildWater,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
