asset_class_path,asset_count,blueprint_count,generated_class_known,parent_class_known,native_parent_class_known,confirmed_identity_count,open_identity_count
/Script/LevelSequence.LevelSequence,193,49,49,49,49,0,0
/Game/ASA/Blueprints/Water_DA/Phx/BP_WaterPhysics_ASA_DA.BP_WaterPhysics_ASA_DA_C,192,0,0,0,0,0,0
/Game/ASA/Blueprints/Water_DA/PP/BP_WaterPostProcess_ASA_DA.BP_WaterPostProcess_ASA_DA_C,191,0,0,0,0,0,0
/Script/Engine.Texture2DArray,187,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/ForestAmbientSound_Blueprint.ForestAmbientSound_Blueprint_C,182,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/JungleAmbientSound_Blueprint.JungleAmbientSound_Blueprint_C,178,0,0,0,0,0,0
/Game/PrimalEarth/CoreBlueprints/NPCZoneManagerBlueprint_Cave.NPCZoneManagerBlueprint_Cave_C,176,0,0,0,0,0,0
/Script/Engine.DecalActor,175,0,0,0,0,0,0
/Script/Engine.TileStreamingVolume,162,0,0,0,0,0,0
/Game/Test/Dave/Tools/EUA_AreaPoint.EUA_AreaPoint_C,161,0,0,0,0,0,0
/Script/Engine.WorldDataLayers,160,0,0,0,0,0,0
/Script/Engine.WorldPartitionMiniMap,158,0,0,0,0,0,0
/Script/BinkMediaPlayer.BinkMediaPlayer,157,0,0,0,0,0,0
/Script/Engine.LocalSkyLightOverride,155,0,0,0,0,0,0
/Script/AIModule.BehaviorTree,151,0,0,0,0,0,0
/Game/Genesis/Missions/Debugging/PointOfInterestBP_MissionStart_Debugging.PointOfInterestBP_MissionStart_Debugging_C,150,0,0,0,0,0,0
/Game/Art_Tools/Level_Tools/Flowmap/EUA_Flowmap_Spline_DA.EUA_Flowmap_Spline_DA_C,146,0,0,0,0,0,0
/Script/Niagara.NiagaraEffectType,145,0,0,0,0,0,0
/Game/ASA/Blueprints/LightingTools/DynamicTOD/BP_DynamicSpotLight.BP_DynamicSpotLight_C,136,0,0,0,0,0,0
/Game/Genesis/Environment/Sky/VolumetricClouds/Biomes/Volcano/BP_PointLight_Amber.BP_PointLight_Amber_C,136,0,0,0,0,0,0
/Script/ShooterGame.SupplyCrateSpawningVolume,136,0,0,0,0,0,0
