object_path,asset_name,asset_class_path,evidence_freshness,stage,status,ambiguous_count,not_recovered_count,source_not_available_count,stale_count,failure_reason,gap_count
/Game/Extinction/CoreBlueprints/Buffs/Buff_TekGravityGrenadeForce.Buff_TekGravityGrenadeForce,Buff_TekGravityGrenadeForce,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,9,0,,9
/Game/Packs/TidesOfFortune/Dinos/Axolotl/Abilities/Buff_AxolotlRegenBuffer.Buff_AxolotlRegenBuffer,Buff_AxolotlRegenBuffer,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,9,0,,9
/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Base.Wyvern_Character_BP_Base,Wyvern_Character_BP_Base,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,9,0,,9
/Game/PrimalEarth/CoreBlueprints/Items/PrimalItem_FishBasketFilled.PrimalItem_FishBasketFilled,PrimalItem_FishBasketFilled,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,8,0,,8
/Game/Packs/TidesOfFortune/Dinos/Axolotl/Axolotl_Large/Buff_AxolotlRegenBuffer_Large.Buff_AxolotlRegenBuffer_Large,Buff_AxolotlRegenBuffer_Large,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,7,0,,7
/Game/Packs/TidesOfFortune/Dinos/Parrot/CoreBlueprints/Buffs/Buff_TreasureHunter.Buff_TreasureHunter,Buff_TreasureHunter,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,7,0,,7
/Game/ASA/Dinos/Gigantoraptor/PrimalItemResource_GigantoraptorFeather.PrimalItemResource_GigantoraptorFeather,PrimalItemResource_GigantoraptorFeather,/Script/Engine.Blueprint,STALE,blueprint_evidence,STALE,0,0,5,1,PACKAGE_SHA256_MISMATCH,6
/Game/ASA/Dinos/Gigantoraptor/Buffs/Buff_GigantoraptorTraining.Buff_GigantoraptorTraining,Buff_GigantoraptorTraining,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,6,0,,6
/Game/Genesis/Missions/VRBattle/VRBattle_StageLandingLocation.VRBattle_StageLandingLocation,VRBattle_StageLandingLocation,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,1,5,0,,6
/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_Bleeding_Stacks.Buff_Bleeding_Stacks,Buff_Bleeding_Stacks,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,6,0,,6
/Game/PrimalEarth/Structures/FishBasket.FishBasket,FishBasket,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,6,0,,6
/Game/ASA/Dinos/Gigantoraptor/Nest/Buff_HiddenInNest.Buff_HiddenInNest,Buff_HiddenInNest,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,5,0,,5
/Game/ASA/Dinos/YiLing/Feathers/Buff_YiLingArmorReduction.Buff_YiLingArmorReduction,Buff_YiLingArmorReduction,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,5,0,,5
/Game/ASA/Dinos/YiLing/Feathers/Buff_YiLingPoison.Buff_YiLingPoison,Buff_YiLingPoison,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,5,0,,5
