blueprint_asset_path,blueprint_function_name,status,resolution_method,confidence,candidate_count,native_target_count,native_evidence_ids
/Game/ASA/Dinos/Gigantoraptor/Gigantoraptor_Character_BP.Gigantoraptor_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,12,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/Packs/TidesOfFortune/Dinos/Axolotl/Axolotl_Large/Axolotl_Large_Character_BP.Axolotl_Large_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,10,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/Packs/TidesOfFortune/Dinos/Parrot/Parrot_Character_BP.Parrot_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,10,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/ShoulderDragon/ShoulderDragon_Character_BP.ShoulderDragon_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,9,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/Genesis/Dinos/GiantTurtle/GiantTurtle_Character_BP.GiantTurtle_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,8,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/Dragontopia/Dragons/Base/Draco_Character_BP.Draco_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,7,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/Genesis/Dinos/GiantTurtle/GiantTurtle_Character_BP.GiantTurtle_Character_BP,AddNewItem,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,7,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1414E60
/Game/Genesis/Dinos/Cherufe/Cherufe_Character_BP.Cherufe_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,4,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/Genesis/Dinos/SpaceWhale/SpaceWhale_Character_BP.SpaceWhale_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,4,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_DinoTekHelmet_Base.Buff_DinoTekHelmet_Base,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,4,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
